09/04/2020;Guyane;3;0
09/04/2020;Hauts-de-France;32;35
09/04/2020;Ile-de-France;11;170
09/04/2020;La Réunion;4;1
09/04/2020;Martinique;2;0
09/04/2020;Mayotte;6;0
09/04/2020;Normandie;28;9
09/04/2020;Nouvelle-Aquitaine;75;12
09/04/2020;Occitanie;76;10
09/04/2020;Pays de la Loire;52;10
09/04/2020;Provence-Alpes-Côte d'Azur;93;17
10/04/2020;Auvergne-Rhône-Alpes;84;30
10/04/2020;Bourgogne-Franche-Comté;27;20
10/04/2020;Bretagne;53;5
10/04/2020;Centre-Val de Loire;24;12
10/04/2020;Corse;94;0
10/04/2020;Grand-Est;44;31
10/04/2020;Guadeloupe;1;3
10/04/2020;Guyane;3;0
10/04/2020;Hauts-de-France;32;36
10/04/2020;Ile-de-France;11;197
10/04/2020;La Réunion;4;0
10/04/2020;Martinique;2;0
10/04/2020;Mayotte;6;0
10/04/2020;Normandie;28;10
10/04/2020;Nouvelle-Aquitaine;75;13
10/04/2020;Occitanie;76;23
10/04/2020;Pays de la Loire;52;10
10/04/2020;Provence-Alpes-Côte d'Azur;93;41
11/04/2020;Auvergne-Rhône-Alpes;84;29
11/04/2020;Bourgogne-Franche-Comté;27;3
11/04/2020;Bretagne;53;7
11/04/2020;Centre-Val de Loire;24;9
11/04/2020;Corse;94;0
11/04/2020;Grand-Est;44;28
11/04/2020;Guadeloupe;1;0
11/04/2020;Guyane;3;0
11/04/2020;Hauts-de-France;32;20
11/04/2020;Ile-de-France;11;117
11/04/2020;La Réunion;4;0
11/04/2020;Martinique;2;0
11/04/2020;Mayotte;6;0
11/04/2020;Normandie;28;7
11/04/2020;Nouvelle-Aquitaine;75;5
11/04/2020;Occitanie;76;10
11/04/2020;Pays de la Loire;52;5
11/04/2020;Provence-Alpes-Côte d'Azur;93;15
12/04/2020;Auvergne-Rhône-Alpes;84;18
12/04/2020;Bourgogne-Franche-Comté;27;9
12/04/2020;Bretagne;53;3
12/04/2020;Centre-Val de Loire;24;1
12/04/2020;Corse;94;1
12/04/2020;Grand-Est;44;24
12/04/2020;Guadeloupe;1;0
12/04/2020;Guyane;3;0
12/04/2020;Hauts-de-France;32;9
12/04/2020;Ile-de-France;11;125
12/04/2020;La Réunion;4;0
12/04/2020;Martinique;2;0
12/04/2020;Mayotte;6;0
12/04/2020;Normandie;28;2
12/04/2020;Nouvelle-Aquitaine;75;4
12/04/2020;Occitanie;76;3
12/04/2020;Pays de la Loire;52;7
12/04/2020;Provence-Alpes-Côte d'Azur;93;14
13/04/2020;Auvergne-Rhône-Alpes;84;17
13/04/2020;Bourgogne-Franche-Comté;27;13
13/04/2020;Bretagne;53;4
13/04/2020;Centre-Val de Loire;24;8
13/04/2020;Corse;94;1
13/04/2020;Grand-Est;44;24
13/04/2020;Guadeloupe;1;0
13/04/2020;Guyane;3;0
13/04/2020;Hauts-de-France;32;14
13/04/2020;Ile-de-France;11;102
13/04/2020;La Réunion;4;0
13/04/2020;Martinique;2;1
13/04/2020;Mayotte;6;0
13/04/2020;Normandie;28;7
13/04/2020;Nouvelle-Aquitaine;75;10
13/04/2020;Occitanie;76;9
13/04/2020;Pays de la Loire;52;2
13/04/2020;Provence-Alpes-Côte d'Azur;93;15
14/04/2020;Auvergne-Rhône-Alpes;84;23
14/04/2020;Bourgogne-Franche-Comté;27;5
14/04/2020;Bretagne;53;4
14/04/2020;Centre-Val de Loire;24;8
14/04/2020;Corse;94;1
14/04/2020;Grand-Est;44;36
14/04/2020;Guadeloupe;1;0
14/04/2020;Guyane;3;0
